Time,Region,u10,v10,t2m
2019-06-23,N. PIERIAS,-1.2685423,1.969305,300.19128
2019-06-24,N. PIERIAS,0.09261131,-1.6828871,299.0
2019-06-25,N. PIERIAS,-0.50682545,-0.8529577,301.8794
2019-06-26,N. PIERIAS,-0.49763775,-1.1430721,300.114
2019-06-27,N. PIERIAS,-1.0330448,0.6217365,302.1881
2019-06-28,N. PIERIAS,0.34235096,-1.5547972,303.67798
2019-06-29,N. PIERIAS,-1.9845829,2.3386564,299.24036
2019-06-30,N. PIERIAS,-1.4634142,1.2374916,298.01135
2019-07-01,N. PIERIAS,-1.2086306,0.57201195,301.5006
2019-07-02,N. PIERIAS,-1.2751684,0.45726967,303.32153
2019-07-03,N. PIERIAS,-1.2880535,1.352932,304.72363
2019-07-04,N. PIERIAS,-1.6425304,2.3432302,302.4419
2019-07-05,N. PIERIAS,-1.6542177,1.3632469,300.98474
2019-07-06,N. PIERIAS,-1.1825924,1.017559,302.7589
2019-07-07,N. PIERIAS,-1.8463669,2.0345917,303.71814
2019-07-08,N. PIERIAS,-0.8472948,0.29815006,304.08154
2019-07-09,N. PIERIAS,-1.1286488,1.0754156,302.00952
2019-07-10,N. PIERIAS,-0.85408497,1.0443478,300.26636
2019-07-11,N. PIERIAS,-1.728837,0.75222015,296.0647
2019-07-12,N. PIERIAS,-1.3949594,1.7530928,297.59644
2019-07-13,N. PIERIAS,-1.3854008,2.33739,296.97278
2019-07-14,N. PIERIAS,-0.3444481,-2.1098537,296.69116
2019-07-15,N. PIERIAS,-0.98056126,1.7906199,294.92603
2019-07-16,N. PIERIAS,0.41113758,-2.3194828,290.59912
2019-07-17,N. PIERIAS,-0.59112835,0.79778767,297.57117
2019-07-18,N. PIERIAS,-1.5002708,1.5676632,298.6659
2019-07-19,N. PIERIAS,-0.81335163,1.5743208,298.79333
2019-07-20,N. PIERIAS,-1.3370323,1.1378946,300.58936
2019-07-21,N. PIERIAS,-1.5744572,1.514741,301.1693
2019-07-22,N. PIERIAS,-1.1693964,1.1061897,302.35425
2019-07-23,N. PIERIAS,0.36709023,0.44577885,300.90747
2019-07-24,N. PIERIAS,-2.3434753,1.132493,299.7981
2019-07-25,N. PIERIAS,-1.6432571,1.6193867,299.3911
2019-07-26,N. PIERIAS,-2.1280098,2.3722506,300.50403
2019-07-27,N. PIERIAS,-1.9313908,2.0030708,300.3728
2019-07-28,N. PIERIAS,-2.5435572,3.0762253,300.07593
2019-07-29,N. PIERIAS,-0.28811932,0.58439827,300.37573
2019-07-30,N. PIERIAS,-1.0111485,0.47178268,300.10083
2019-07-31,N. PIERIAS,-1.11374,1.510437,301.33447
2019-08-01,N. PIERIAS,-0.6908188,0.6521311,304.53943
2019-08-02,N. PIERIAS,-2.1476316,2.2813501,302.4657
2019-08-03,N. PIERIAS,0.2510786,0.7127619,303.99976
2019-08-04,N. PIERIAS,-1.2112684,-1.81878,301.70874
2019-08-05,N. PIERIAS,-0.9290714,1.7386675,298.8683
2019-08-06,N. PIERIAS,-1.9276094,1.4963207,299.7787
2019-08-07,N. PIERIAS,-2.1254883,1.8092804,301.1306
2019-08-08,N. PIERIAS,-1.9102297,1.8680706,302.6067
2019-08-09,N. PIERIAS,-1.18365,1.0586214,303.2362
2019-08-10,N. PIERIAS,-1.8806324,1.7280102,303.94617
2019-08-11,N. PIERIAS,-1.5657606,1.327178,303.58765
2019-08-12,N. PIERIAS,-1.1104822,0.6021843,303.97583
2019-08-13,N. PIERIAS,-1.710969,1.7995415,304.2799
